,6.37,-501125
177,00:19,6.45,-500376
177,00:19,6.43,-500455
177,00:19,6.44,-500548
177,00:19,6.41,-500599
177,00:19,6.42,-500491
177,00:19,6.44,-500437
177,00:19,6.44,-500417
177,00:19,6.44,-500450
177,00:19,6.44,-500386
177,00:19,6.43,-500773
177,00:19,6.42,-500661
177,00:19,6.39,-500791
177,00:19,6.39,-501010
177,00:19,6.38,-500914
177,00:19,6.37,-501096
177,00:19,6.37,-501084
177,00:19,6.37,-501130
177,00:19,6.39,-500867
177,00:19,6.38,-500950
177,00:19,6.39,-500867
177,00:19,6.39,-501050
177,00:19,6.38,-500786
177,00:19,6.41,-500722
177,00:19,6.43,-500462
177,00:19,6.45,-500362
177,00:19,6.46,-500151
177,00:19,6.49,-499782
177,00:19,6.52,-499585
177,00:19,6.54,-499391
177,00:19,6.56,-499308
177,00:19,6.58,-499054
177,00:19,6.60,-498922
177,00:19,6.61,-498871
177,00:19,6.61,-498650
177,00:19,6.66,-498259
177,00:19,6.70,-497743
177,00:19,6.76,-496994
177,00:19,6.85,-496230
177,00:19,6.92,-495505
177,00:20,6.99,-494987
177,00:20,7.06,-494377
177,00:20,7.10,-494119
177,00:20,7.12,-493963
177,00:20,7.16,-493375
177,00:20,7.20,-493144
177,00:20,7.27,-492316
177,00:20,7.35,-491387
177,00:20,7.49,-489802
177,00:20,7.67,-487937
177,00:20,7.87,-485816
177,00:20,8.13,-483686
177,00:20,8.30,-482329
177,00:20,8.45,-480902
177,00:20,8.60,-479676
177,00:20,8.72,-478400
177,00:20,8.88,-477037
177,00:20,9.04,-475095
177,00:20,9.26,-472972
177,00:20,9.49,-470923
177,00:20,9.71,-468731
177,00:20,9.96,-466532
177,00:20,10.28,-463349
177,00:20,10.53,-461192
177,00:20,10.75,-459258
177,00:20,10.93,-457492
177,00:20,11.15,-455440
177,00:20,11.34,-453689
177,00:20,11.53,-451974
177,00:20,11.73,-449779
177,00:20,11.98,-447524
177,00:20,12.34,-444355
177,00:20,12.52,-442705
177,00:20,12.70,-441250
177,00:20,12.86,-439745
177,00:20,12.99,-438785
177,00:20,13.09,-437546
177,00:20,13.24,-436279
177,00:20,13.41,-434315
177,00:20,13.64,-432202
177,00:21,13.87,-429867
177,00:21,14.11,-427713
177,00:21,14.31,-426153
177,00:21,14.46,-425139
177,00:21,14.52,-424964
177,00:21,14.51,-424773
177,00:21,14.58,-424178
177,00:21,14.61,-424047
177,00:21,14.62,-424224
177,00:21,14.43,-426162
177,00:21,14.38,-426392
177,00:21,14.31,-427265
177,00:21,14.22,-428295
177,00:21,14.02,-430127
177,00:21,13.90,-431549
177,00:21,13.73,-433213
177,00:21,13.53,-434740
177,00:21,13.43,-435481
177,00:21,13.35,-436564
177,00:21,13.22,-437465
177,00:21,13.14,-438187
177,00:21,13.05,-439161
177,00:21,12.95,-439902
177,00:21,12.86,-440742
177,00:21,12.80,-441333
177,00:21,12.70,-442361
177,00:21,12.53,-444317
177,00:21,12.34,-446352
177,00:21,12.09,-448826
177,00:21,11.82,-451502
177,00:21,11.52,-454522
177,00:21,11.17,-458051
177,00:21,10.76,-462254
177,00:21,10.27,-467408
177,00:21,9.36,-476024
177,00:21,8.75,-481607
177,00:21,8.17,-486825
177,00:21,7.66,-490985
177,00:22,7.25,-494238
177,00:22,6.97,-496711
177,00:22,6.73,-498492
177,00:22,6.56,-499570
177,00:22,6.51,-500111
177,00:22,6.45,-500408
177,00:22,6.41,-501117
177,00:22,6.34,-501478
177,00:22,6.31,-501966
177,00:22,6.32,-501127
177,00:22,6.35,-501542
177,00:22,6.27,-502169
177,00:22,6.26,-502087
177,00:22,6.27,-501826
177,00:22,6.29,-501697
177,00:22,6.32,-501608
177,00:22,6.31,-501726
177,00:22,6.31,-501766
177,00:22,6.30,-501738
177,00:22,6.30,-501676
177,00:22,6.31,-501721
177,00:22,6.30,-501827
177,00:22,6.29,-501764
177,00:22,6.29,-501697
177,00:22,6.31,-501675
177,00:22,6.30,-501727
177,00:22,6.31,-501221
177,00:22,6.37,-501157
177,00:22,6.37,-501198
177,00:22,6.36,-501058
177,00:22,6.37,-501093
177,00:22,6.36,-501201
177,00:22,6.37,-501004
177,00:22,6.37,-501041
177,00:22,6.38,-501096
177,00:22,6.37,-500982
177,00:22,6.37,-501115
177,00:22,6.37,-500906
177,00:22,6.39,-501104
177,00:22,6.35,-501306
177,00:23,6.35,-501096
177,00:23,6.36,-501204
177,00:23,6.38,-500938
177,00:23,6.38,-501066
177,00:23,6.37,-501082
177,00:23,6.36,-501128
177,00:23,6.37,-500977
177,00:23,6.39,-500969
177,00:23,6.37,-501119
177,00:23,6.36,-501123
177,00:23,6.36,-501123
177,00:23,6.37,-501056
177,00:23,6.37,-501039
177,00:23,6.38,-500971
177,00:23,6.36,-501225
177,00:23,6.36,-501089
177,00:23,6.37,-501063
177,00:23,6.38,-501074
177,00:23,6.36,-501168
177,00:23,6.36,-501063
177,00:23,6.37,-501084
177,00:23,6.36,-501045
177,00:23,6.38,-501019
177,00:23,6.38,-501001
177,00:23,6.38,-501012
177,00:23,6.38,-500952
177,00:23,6.38,-501190
177,00:23,6.36,-501126
177,00:23,6.37,-501092
177,00:23,6.38,-501045
177,00:23,6.38,-501070
177,00:23,6.36,-501162
177,00:23,6.36,-501115
177,00:23,6.38,-501032
177,00:23,6.36,-501077
177,00:23,6.37,-501071
177,00:23,6.36,-501207
177,00:23,6.35,-501169
177,00:23,6.37,-501018
177,00:23,6.37,-501195
177,00:24,6.36,-501042
177,00:24,6.39,-500925
177,00:24,6.38,-501001
177,00:24,6.36,-501124
177,00:24,6.37,-501090
177,00:24,6.37,-501115
177,00:24,6.37,-501093
177,00:24,6.37,-501107
177,00:24,6.36,-501114
177,00:24,6.37,-501182
177,00:24,6.37,-501127
177,00:24,6.37,-501161
177,00:24,6.37,-501015
177,00:24,6.36,-501064
177,00:24,6.37,-500919
177,00:24,6.38,-500921
177,00:24,6.39,-500997
177,00:24,6.37,-501140
177,00:24,6.36,-501121
177,00:24,6.36,-501220
177,00:24,6.36,-501090
177,00:24,6.38,-501085
177,00:24,6.37,-501133
177,00:24,6.36,-500947
177,00:24,6.38,-501019
177,00:24,6.38,-501067
177,00:24,6.37,-501023
177,00:24,6.37,-501143
177,00:24,6.35,-501108
177,00:24,6.37,-501168
177,00:24,6.36,-501087
177,00:24,6.37,-500933
177,00:24,6.38,-501108
177,00:24,6.36,-501181
177,00:24,6.36,-501167
177,00:24,6.37,-500945
177,00:24,6.38,-500939
177,00:24,6.38,-501212
177,00:24,6.37,-501147
177,00:24,6.37,-501022
177,00:25,6.38,-501020
177,00:25,6.36,-501171
177,00:25,6.38,-500943
177,00:25,6.38,-501126
177,00:25,6.38,-501067
177,00:25,6.36,-501022
177,00:25,6.37,-501146
177,00:25,6.37,-500967
177,00:25,6.38,-500985
177,00:25,6.38,-501005
177,00:25,6.38,-500911
177,00:25,6.37,-501231
177,00:25,6.36,-500949
177,00:25,6.37,-501067
177,00:25,6.38,-500983
177,00:25,6.38,-501000
177,00:25,6.36,-501190
177,00:25,6.38,-500910
177,00:25,6.38,-501136
177,00:25,6.37,-501005
177,00:25,6.38,-501122
177,00:25,6.37,-501000
177,00:25,6.37,-501127
177,00:25,6.38,-501014
177,00:25,6.37,-501068
177,00:25,6.36,-501217
177,00:25,6.37,-501076
177,00:25,6.36,-501070
177,00:25,6.37,-500894
177,00:25,6.39,-500872
177,00:25,6.38,-501172
177,00:25,6.35,-501118
177,00:25,6.38,-501038
177,00:25,6.36,-501212
177,00:25,6.37,-501013
177,00:25,6.37,-501149
177,00:25,6.36,-501161
177,00:25,6.36,-501061
177,00:25,6.36,-501118
177,00:25,6.38,-501023
177,00:26,6.36,-501157
177,00:26,6.38,-501114
177,00:26,6.36,-501175
177,00:26,6.35,-501253
177,00:26,6.36,-501096
177,00:26,6.37,-501065
177,00:26,6.36,-501202
177,00:26,6.37,-500955
177,00:26,6.39,-500955
177,00:26,6.37,-501109
177,00:26,6.37,-501120
177,00:26,6.38,-501070
177,00:26,6.35,-501262
177,00:26,6.35,-501052
177,00:26,6.38,-500999
177,00:26,6.37,-501187
177,00:26,6.37,-501142
177,00:26,6.36,-501072
177,00:26,6.38,-500955
177,00:26,6.37,-501142
177,00:26,6.37,-501135
177,00:26,6.36,-501081
177,00:26,6.37,-501091
177,00:26,6.37,-501132
177,00:26,6.36,-501094
177,00:26,6.38,-501031
177,00:26,6.37,-501127
177,00:26,6.37,-501043
177,00:26,6.37,-501148
177,00:26,6.37,-501096
177,00:26,6.36,-501166
177,00:26,6.36,-501155
177,00:26,6.37,-501001
177,00:26,6.37,-501064
177,00:26,6.38,-500966
177,00:26,6.38,-501067
177,00:26,6.38,-501012
177,00:26,6.37,-501153
177,00:26,6.36,-501092
177,00:26,6.37,-501119
177,00:27,6.37,-501136
177,00:27,6.38,-500988
177,00:27,6.37,-500962
177,00:27,6.38,-501040
177,00:27,6.37,-501145
177,00:27,6.37,-501101
177,00:27,6.37,-501150
177,00:27,6.38,-500894
177,00:27,6.39,-501051
177,00:27,6.37,-500995
177,00:27,6.37,-501107
177,00:27,6.38,-501004
177,00:27,6.37,-500982
177,00:27,6.38,-500987
177,00:27,6.38,-501121
177,00:27,6.36,-501087
177,00:27,6.36,-501040
177,00:27,6.38,-501090
177,00:27,6.36,-501138
177,00:27,6.38,-501046
177,00:27,6.37,-501139
177,00:27,6.36,-501251
177,00:27,6.36,-500995
177,00:27,6.39,-500848
177,00:27,6.39,-501122
177,00:27,6.36,-501051
177,00:27,6.39,-501093
177,00:27,6.36,-501064
177,00:27,6.37,-501222
177,00:27,6.36,-501026
177,00:27,6.37,-501088
177,00:27,6.37,-501146
177,00:27,6.36,-501002
177,00:27,6.37,-501029
177,00:27,6.39,-500921
177,00:27,6.38,-501017
177,00:27,6.37,-501051
177,00:27,6.38,-501115
177,00:27,6.37,-501105
177,00:27,6.38,-500977
177,00:28,6.38,-501002
177,00:28,6.36,-501338
177,00:28,6.36,-501199
177,00:28,6.37,-501005
177,00:28,6.37,-501070
177,00:28,6.39,-500891
177,00:28,6.38,-501048
177,00:28,6.37,-501030
177,00:28,6.38,-501026
177,00:28,6.38,-500981
177,00:28,6.39,-500971
177,00:28,6.38,-501098
177,00:28,6.37,-501120
177,00:28,6.38,-501087
177,00:28,6.37,-501122
177,00:28,6.35,-501154
177,00:28,6.38,-501014
177,00:28,6.36,-501019
177,00:28,6.39,-500879
177,00:28,6.40,-500950
177,00:28,6.37,-501012
177,00:28,6.38,-500982
177,00:28,6.38,-500904
177,00:28,6.39,-500988
177,00:28,6.36,-501252
177,00:28,6.36,-501046
177,00:28,6.37,-501139
177,00:28,6.37,-501025
177,00:28,6.37,-501205
177,00:28,6.37,-500975
177,00:28,6.38,-500904
177,00:28,6.36,-501068
177,00:28,6.38,-500923
177,00:28,6.38,-501234
